Rang,Uporabniško ime,Elo,Id,Država,Država številka,Skupaj igre,Skupaj zmage,Skupaj remiji,Skupaj porazi,Naslov,Strela elo,Metek elo,Ime,Priimek,Opazovalci,Datum,Spol,Celina,Obratna vrednost prebivalstva,Leto
1294,kaamo1,2402,400865471,Egypt,45,327,204,36,87,Nima naslova,2268,2040,,,183,2024-11-06,Ni znano,Africa,9.322161406512797e-09,2024
1295,Eduard999_82,2402,39192724,Armenia,14,7958,2939,1134,3885,Nima naslova,2060,2308,Eduard,Sargsyan,2247,2017-10-05,Moški,Asia,3.2455941060011037e-07,2017
1296,priyanshuNITRR24,2402,369170815,India,69,133,90,13,30,Nima naslova,2080,2214,,,426,2024-06-12,Ni znano,Asia,7.054713536302145e-10,2024
1297,RVSP16,2402,36805004,United States,2,1439,872,77,490,Nima naslova,2721,2803,,,1642,2017-07-05,Ni znano,North America,2.9402166800915e-09,2017
1298,Phutrong_BD,2402,366578479,Vietnam,149,594,272,97,225,Nima naslova,2381,2302,Id,Fide,2712,2024-05-31,Ni znano,Asia,9.867401853887461e-09,2024
1299,ruushka,2402,344815277,Somalia,212,308,220,21,67,Nima naslova,2269,2036,GM,Rushdi,81,2024-02-11,Ni znano,Africa,5.087763927753752e-08,2024
1300,CHIEF_T0ILETG0AT,2402,343739277,United Kingdom,164,156,83,19,54,Nima naslova,2525,2325,,,98,2024-02-06,Ni znano,Europe,1.4648750288012741e-08,2024
1301,VidalResli,2402,340725377,Philippines,111,850,554,48,248,Nima naslova,2501,2610,Resli,Vidal,907,2024-01-23,Ni znano,Asia,8.762429506254623e-09,2024
1302,MedoDaChuva,2402,316534389,Brazil,27,1417,914,121,382,Nima naslova,2436,2417,,,1677,2023-09-30,Ni znano,South America,4.7040284123316105e-09,2023
1303,LinoVald,2402,305014405,Austria,18,281,166,30,85,Nima naslova,2227,2096,Linandro,Valderrama,103,2023-08-09,Ni znano,Europe,1.0868465375949455e-07,2023
1304,DitoLominadze,2402,293106903,Georgia,53,1522,864,67,591,Nima naslova,1566,1697,dimitri,lominadze,165,2023-06-12,Ni znano,Asia,2.699419624780672e-07,2023
1305,radekszuster,2402,29222820,Poland,112,4344,2283,160,1901,Nima naslova,1810,1759,Radek,Szuster,483,2016-07-26,Moški,Europe,2.6729391639046296e-08,2016
1306,sergiosc123,2402,205756983,Mexico,95,399,283,13,103,Nima naslova,1023,711,,,196,2022-11-10,Ni znano,North America,7.667703565107974e-09,2022
1307,Chocolatine2000,2402,189238605,France,52,302,211,26,65,Nima naslova,2440,2504,,,688,2022-07-07,Ni znano,Europe,1.4562824022834507e-08,2022
1308,boopbark,2402,184427985,Seychelles,327,1207,654,97,456,Nima naslova,2244,2479,,,854,2022-05-21,Ni znano,Africa,8.194169029318736e-06,2022
